Date,Open,High,Low,Close,Adj Close,Volume
2021-06-18,161.2,162.4,145.3,157.95,153.8,8466559
2021-06-17,163.25,166,157.8,161.05,156.82,6163325
2021-06-16,153.9,168.3,153.05,164.95,160.62,8972509
2021-06-15,156.5,157.75,152.2,153.55,149.52,2612528
2021-06-14,156.95,157.3,150.25,155.7,151.61,6187139
2021-06-11,151.4,156.4,151.25,153.55,149.52,6690636
2021-06-10,146.45,152,144,150.55,146.59,5691527
2021-06-09,144.5,156.7,142,145.35,141.53,18183827
2021-06-08,140.9,146.9,139.05,143.6,139.83,8122292
2021-06-07,136.4,143,136.4,140.15,136.47,8021062
2021-06-04,137.8,137.8,133.5,135.1,131.55,5751647
2021-06-03,131.6,147.8,131.6,136.15,132.57,14919528
2021-06-02,126.75,132.4,125.3,130.85,127.41,24131604
2021-06-01,118,127.7,117.5,126,122.69,31706605
2021-05-31,117,119.65,116.05,117.75,114.66,6116040
2021-05-28,116.6,118.5,115.25,116.15,113.1,3652280
2021-05-27,115.5,118.4,114.95,115.7,112.66,4853113
2021-05-26,118,118.1,114.2,115.1,112.08,2214904
2021-05-25,117.2,119.4,117,118.1,115,2754612
2021-05-24,118,119.5,115,116.9,113.83,3916913
2021-05-21,118.2,118.5,115.7,117.1,114.02,3135122
2021-05-20,116.5,118.3,115.25,117.4,114.32,2709559
2021-05-19,116.55,119.45,115.9,117.8,114.7,4025817
2021-05-18,113.8,117,113.4,115.75,112.71,3843428
2021-05-17,115,115.8,111.4,113.45,110.47,4385175
2021-05-14,118.4,118.7,110.1,114.15,111.15,5914784
2021-05-12,121.7,121.8,115.6,117.6,114.51,5540148
2021-05-11,117.8,125.5,117.25,120.75,117.58,7382591
2021-05-10,117.7,119.9,115.65,119.15,116.02,4861751
2021-05-07,117.55,118.45,115.25,116.8,113.73,4541538
2021-05-06,120,120.5,115,116.5,113.44,8918722
2021-05-05,111.3,120.95,109.2,119.4,116.26,30820206
2021-05-04,114.95,116,106.5,110.2,107.3,11596859
2021-05-03,109.6,113.3,109,110.55,107.65,6015317
2021-04-30,108.3,111.4,107.5,109.6,106.72,9324766
2021-04-29,107.9,111.5,106.45,109,106.14,9779976
2021-04-28,107.45,109.5,106.1,107.1,104.29,5949477
2021-04-27,106.9,107.6,105,106.15,103.36,6432992
2021-04-26,104.1,107.15,103.6,105.9,103.12,9821565
2021-04-23,99.9,103.95,99.15,102.5,99.81,6366157
2021-04-22,101.4,102.7,99,99.65,97.03,8745101
2021-04-20,102,104.7,99.1,100.8,98.15,10999733
2021-04-19,95.2,101.6,94.15,100.25,97.62,9070828
2021-04-16,96.2,103.7,94.7,99.85,97.23,19201032
2021-04-15,95.8,96.9,91.8,95.85,93.33,5329479
2021-04-13,93.1,98.2,92.5,96.55,94.01,9864548
2021-04-12,97.85,98.8,86.7,92.9,90.46,23168073
2021-04-09,89,102.4,88,100.45,97.81,47767621
2021-04-08,90,90.25,87.5,88.65,86.32,5101227
2021-04-07,86.2,90,85.55,89.4,87.05,7078339
2021-04-06,87.2,88.45,85.25,85.65,83.4,4786275
2021-04-05,90,90.4,85,86.55,84.28,5031925
2021-04-01,88.6,92.8,87.85,90.7,88.32,12835744
2021-03-31,87.9,90.2,87,87.85,85.54,4573064
2021-03-30,89,90.4,86.6,87.3,85.01,6595378
2021-03-26,84.2,88.15,83.7,87.5,85.2,10931102
2021-03-25,84.5,84.65,81.1,83.65,81.45,2751111
2021-03-24,85.1,86.45,81.8,83.3,81.11,2405782
2021-03-23,86.75,87.7,85.1,86.3,84.03,3274029
2021-03-22,85.5,87.4,85.05,86.25,83.98,5497499
2021-03-19,82.5,85.65,80.2,84.8,82.57,3882688
2021-03-18,85,86.45,83,84.15,81.94,4897087
2021-03-17,85.25,86.7,81.5,83.65,81.45,4030484
2021-03-16,85.95,88.85,84.15,85.85,83.59,8836563
2021-03-15,85.5,86.65,82.45,85.9,83.64,5373431
2021-03-12,86.2,87.8,84.6,85.6,83.35,6173267
2021-03-10,84.75,89,84.5,86.85,84.57,11468549
2021-03-09,88,89.4,82.4,83.7,81.5,11716480
2021-03-08,81.85,91,81.5,87.15,84.86,30613602
2021-03-05,85,86.5,80.45,81.2,79.07,6758193
2021-03-04,82,87.7,81.8,84.4,82.18,11193512
2021-03-03,89.9,92.4,82.25,84.15,81.94,25169387
2021-03-02,76,88.5,76,86.2,83.94,37918014
2021-03-01,72.5,75.4,71.9,74.3,72.35,2948364
2021-02-26,72.8,73.85,71.15,71.9,70.01,2199673
2021-02-25,73.4,74.75,72.75,73.2,71.28,2635963
2021-02-24,73.5,75.4,72.25,72.85,70.94,1299058
2021-02-23,72.35,75.25,71.25,73.4,71.47,3909384
2021-02-22,73.95,74,71.05,71.8,69.91,1381550
2021-02-19,74.85,75.75,72,73.95,72.01,3861934
2021-02-18,74.9,77,72.1,75.4,73.42,5751654
2021-02-17,75,75.6,74.05,74.65,72.69,1806761
2021-02-16,76.4,76.75,74.05,75,73.03,2764907
2021-02-15,75.45,77.8,74.5,75.85,73.86,3056676
2021-02-12,77.1,77.5,74,74.65,72.69,2679065
2021-02-11,73.05,77.9,72.8,77.6,75.56,8928195
2021-02-10,70.8,74,70.45,72.65,70.74,3108574
2021-02-09,71.5,73.4,70,70.55,68.7,2823816
2021-02-08,70.85,72.75,70.55,71.65,69.77,2297894
2021-02-05,72.65,72.65,70,70.8,68.94,2930517
2021-02-04,71.65,73.65,71.65,72.25,70.35,2268906
2021-02-03,72.3,72.6,71.3,71.7,69.82,1719315
2021-02-02,71.45,72.95,69.8,71.95,70.06,2020022
2021-02-01,71.5,71.9,69.25,71,69.13,2340937
2021-01-29,74.65,76.2,71,72.25,70.35,4652567
2021-01-28,73.3,75.5,72.8,74.05,72.1,1652369
2021-01-27,72.5,74.95,71.6,74.2,72.25,2002537
2021-01-25,74.75,75.15,71.3,72.7,70.79,2795114
