Date,Open,High,Low,Close,Adj Close,Volume
2023-02-09,207.2,207.65,203.55,205.5,202.67,6294658
2023-02-08,206.3,207.55,204.2,207.15,204.29,8259877
2023-02-07,209.5,210,205,206.3,203.45,8095192
2023-02-06,209,212.85,206.75,208.55,205.67,17908243
2023-02-03,207.5,208.2,202,205.3,202.47,10618799
2023-02-02,204.95,208.8,204,206.3,203.45,9841415
2023-02-01,214.9,215.4,196.65,205.85,203.01,19017445
2023-01-31,205.5,214.65,204.45,212.9,209.96,16807189
2023-01-30,203.45,205.8,201.35,204.35,201.53,10341362
2023-01-27,202.5,203.85,196.65,202.35,199.56,13521282
2023-01-25,205.85,206.25,200.85,201.45,198.67,9681030
2023-01-24,207.05,208.15,205.5,205.85,203.01,6551672
2023-01-23,207.75,208,206.7,207,204.14,4638356
2023-01-20,205.35,208.5,205.1,207.2,204.34,6362978
2023-01-19,206.95,207.5,205.05,205.3,202.47,4978935
2023-01-18,207.65,208.35,207.3,207.5,204.64,4564618
2023-01-17,206.9,208.5,206,207.7,204.83,5676087
2023-01-16,207.3,208.25,206.15,206.95,204.1,4396161
2023-01-13,205.7,206.8,204.15,206.45,203.6,5801690
2023-01-12,206.4,206.8,203.8,205.7,202.86,6167789
2023-01-11,206.85,207.3,205.15,205.85,203.01,7061239
2023-01-10,206.65,207.8,204.7,206.05,203.21,8246247
2023-01-09,206.45,207.15,205.2,206.2,203.36,6631221
2023-01-06,207.6,208.75,204.1,205.4,202.57,9603038
2023-01-05,209.6,209.75,205.15,207.6,204.74,10272550
2023-01-04,211,211.35,205.85,208.1,205.23,14226706
2023-01-03,212,213,210,211.35,208.43,7238453
2023-01-02,208.75,212.2,208.2,211.85,208.93,7746971
2022-12-30,207.4,210,207,207.7,204.83,7372810
2022-12-29,208.8,208.8,205,205.85,203.01,15374707
2022-12-28,207.35,210.3,206.8,208.25,205.38,8920331
2022-12-27,206.8,208.3,204.8,207.7,204.83,11851262
2022-12-26,197.3,204.65,194.6,203.15,200.35,18203352
2022-12-23,206.2,207.9,196,196.9,194.18,20819266
2022-12-22,214.9,215.3,206.55,208.9,206.02,14020296
2022-12-21,218.4,219.4,212.5,213.8,210.85,9737819
2022-12-20,216.8,218.5,214.6,217.85,214.84,6418826
2022-12-19,218,218,214.9,216.8,213.81,9302368
2022-12-16,221,222.5,216.05,217.35,214.35,10349382
2022-12-15,222.65,224.8,221.05,221.8,218.74,7909066
2022-12-14,219.8,223.2,219.4,222.7,219.63,9179593
2022-12-13,218.8,220.3,217.8,218.85,215.83,7265105
2022-12-12,219.75,219.75,215.7,217.7,214.7,8858525
2022-12-09,225.9,226.5,217.5,219.4,216.37,13087278
2022-12-08,226,227.3,224.8,225.05,221.95,7507975
2022-12-07,228.8,229.6,225.4,225.85,222.73,7548312
2022-12-06,224.2,230.3,223.5,228.8,225.64,20071039
2022-12-05,225.25,225.85,222.35,224.2,221.11,10750610
2022-12-02,225.45,226.35,223.85,225.25,222.14,7223274
2022-12-01,225.25,227.15,223.6,224.85,221.75,7833074
2022-11-30,223.55,225.4,222.65,224.8,221.7,8815900
2022-11-29,225,225.45,222.9,223.45,220.37,6165404
2022-11-28,224.1,226.45,223.3,224.6,221.5,7388645
2022-11-25,221.2,224.85,220.35,224.1,221.01,8062766
2022-11-24,221,221.7,219.6,220.75,217.7,6612342
2022-11-23,221.5,222.25,220.5,220.8,217.75,5966239
2022-11-22,221.05,222,219.05,220.5,217.46,7105721
2022-11-21,220.45,222.4,218.4,221.4,218.35,6226956
2022-11-18,222.35,222.85,218.7,220.45,217.41,7718744
2022-11-17,224.7,224.9,221,221.4,218.35,10679502
2022-11-16,229.5,230,222.25,224.6,221.5,10662953
2022-11-15,228.45,230.25,228,229.5,226.33,6426117
2022-11-14,230.05,230.4,226.8,227.7,224.56,7310857
2022-11-11,232,232,229.2,229.75,226.58,7259679
2022-11-10,231.2,233.4,228.5,229.2,226.04,8944902
2022-11-09,230.1,234.5,228.85,231.35,228.16,16625632
2022-11-07,228.35,230.4,226.9,229.15,225.99,9570452
2022-11-04,227.7,229.4,226.75,228.3,225.15,8681681
2022-11-03,228.2,229.5,225.75,227.4,224.26,9095013
2022-11-02,230,231.8,227.8,229.05,225.89,9478217
